point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
25,462531.16610938805,9242898.160494206,102.0,282.0,180.0,0.39165875,162.0,0.08673001,0.29863402,3.3010252,0.004872322,0.0022144732
26,478402.7748687897,9230143.880556958,294.0,0.0,12.0,0.45185703,360.0,0.08870931,0.18157387,0.0,0.0048873643,
27,461065.4225960922,9255127.264673471,54.0,348.0,294.0,0.3895776,126.0,0.17741598,0.15627275,2.5483139,0.0011027972,0.00095568295
28,476314.88962580037,9227712.690875664,90.0,306.0,216.0,0.49300954,186.0,0.061132785,0.37667677,2.4618146,0.002829422,0.003598973
29,467892.3375974731,9217922.084971571,18.0,90.0,72.0,0.4400627,30.0,0.12663242,0.22598906,0.83082515,0.011545653,0.005223838
30,455109.290368328,9221671.071251191,222.0,0.0,84.0,0.6253319,348.0,0.53552073,0.06528175,0.0,0.00038591784,
31,453864.3533304056,9243704.355511565,42.0,270.0,228.0,0.25073344,78.0,0.10992818,0.120575264,1.2220503,0.002787369,0.00073336065
32,486489.4318053801,9239436.338119436,210.0,282.0,72.0,0.45900103,246.0,0.22736764,0.21566443,0.67944944,0.006434261,0.0055470965
33,457806.0808996355,9249295.270328602,30.0,324.0,294.0,0.36731887,78.0,0.0067315735,0.35276738,3.7075467,0.0050389213,0.0013745753
34,462833.5206671291,9254630.571585642,0.0,348.0,348.0,0.37363878,18.0,0.30541518,0.06775519,1.1471558,,0.00017205937
35,473328.91308432067,9248439.33863097,78.0,336.0,258.0,0.34873033,234.0,0.19351071,0.15260766,1.4587163,0.0009949976,0.0012670722
36,459712.4633315662,9237210.55237026,18.0,348.0,330.0,0.24268265,90.0,0.1453159,0.09400137,1.0869474,0.0011905892,0.00034668483
37,481201.85098582914,9231985.149185553,114.0,324.0,210.0,0.3897288,138.0,0.17588502,0.18749362,1.7403713,0.0055640847,0.0011496978
38,459945.74270521745,9246726.280926006,114.0,282.0,168.0,0.3824613,174.0,0.008526875,0.34163904,2.8481526,0.0051557273,0.003462356
39,464219.2011975178,9220106.23683558,138.0,324.0,186.0,0.5181545,258.0,0.396616,0.10635716,0.8648615,0.0010128208,0.0013814518
40,462733.3934012915,9220536.896055946,0.0,126.0,126.0,0.25769067,6.0,0.1926512,0.032519743,-0.122888535,,0.0005027622
41,459950.5286955755,9224770.966160655,78.0,258.0,180.0,0.32507443,114.0,0.21179846,0.103833035,1.008058,0.002356987,0.0006346388
42,479352.9287121297,9232148.317847133,0.0,282.0,282.0,0.3919837,6.0,0.14064933,0.12566718,-1.0981814,,0.0009106318
43,449074.88311356417,9230262.884457588,126.0,348.0,222.0,0.15543811,186.0,0.10326464,0.03963258,0.43272018,0.00043576732,0.00026734147
44,491432.4451316046,9242149.290268747,0.0,150.0,150.0,0.41564703,18.0,0.022429753,0.25298202,0.30410883,,0.0029789186
45,468555.45216687274,9242020.200102998,30.0,348.0,318.0,0.24570909,42.0,0.17363521,0.05410333,0.80588424,0.0030110653,0.0001944379
46,461674.38594307785,9219924.824686911,30.0,348.0,318.0,0.34568816,42.0,0.0046630176,0.27701584,4.0266056,0.0039046581,0.0011144612
47,459708.35640182823,9229993.107302204,0.0,78.0,78.0,0.3870424,6.0,0.18054774,0.103247315,0.06515723,,0.0028679813
48,467470.90560960874,9228224.033544542,66.0,324.0,258.0,0.4105516,312.0,0.29146594,0.08513561,0.58402884,0.0004840881,0.004265465
49,468229.1425524272,9244061.769870304,102.0,246.0,144.0,0.39235246,126.0,0.2588997,0.120676965,1.0064309,0.0032772894,0.00081473094
50,463438.5407893947,9255693.773142764,18.0,114.0,96.0,0.26082116,42.0,0.17464592,0.077127725,0.37541363,0.0028366752,0.00097376935
51,492877.6308570401,9237296.878424976,210.0,306.0,96.0,0.56889206,294.0,0.3908384,0.14796817,0.8495716,0.0011486678,0.007554186
