lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
20_Kroya1,clu1,32749,108.074835,-6.482305,2024-03-19,3,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.074832,-6.481853,2024-03-19,3,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402461,-6.333641,2024-03-18,3,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402457,-6.332737,2024-03-18,4,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402455,-6.332286,2024-03-18,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632503,-6.363702,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632501,-6.36325,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632515,-6.365961,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632513,-6.365509,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.63251,-6.365058,2024-03-20,6,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.074829,-6.481402,2024-03-19,4,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632508,-6.364606,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632506,-6.364154,2024-03-20,6,"Drone (combined survey, Java-clean)"
8_Ciranggon3,clu4,32748,107.360278,-6.294969,2024-03-18,2,"Drone (combined survey, Java-clean)"
8_Ciranggon3,clu4,32748,107.360276,-6.294517,2024-03-18,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.336598,-6.149098,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.336596,-6.148646,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.336594,-6.148194,2024-03-16,2,"Drone (combined survey, Java-clean)"
5_Rengasdengklok04,clu4,32748,107.344101,-6.212337,2024-03-16,3,"Drone (combined survey, Java-clean)"
5_Rengasdengklok04,clu4,32748,107.344099,-6.211885,2024-03-16,4,"Drone (combined survey, Java-clean)"
8_Ciranggon3,clu4,32748,107.359373,-6.294521,2024-03-18,2,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.144498,-6.2168,2024-03-17,3,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.144496,-6.216348,2024-03-17,3,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.144494,-6.215896,2024-03-17,3,"Drone (combined survey, Java-clean)"
15_Kroya,clu1,32749,108.072859,-6.454313,2024-03-19,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.324901,-6.401703,2024-03-19,2,"Drone (combined survey, Java-clean)"
8_Ciranggon3,clu4,32748,107.359375,-6.294973,2024-03-18,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.324898,-6.401252,2024-03-19,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.324896,-6.4008,2024-03-19,2,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324925,-6.405316,2024-03-19,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.304573,-6.32868,2024-03-19,5,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324922,-6.404864,2024-03-19,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.30457,-6.328228,2024-03-19,5,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324919,-6.404412,2024-03-19,2,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324916,-6.403961,2024-03-19,2,"Drone (combined survey, Java-clean)"
